,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
64,Lebu,62,ET,1570075663,88,8.96,38.73,51.23,2.46
65,Port Alfred,0,ZA,1570075664,87,-33.59,26.89,63.0,11.01
66,Atuona,24,PF,1570075666,72,-9.8,-139.03,80.09,8.16
67,Katobu,25,ID,1570075667,41,-4.94,122.53,91.86,8.03
68,Nishihara,75,JP,1570075668,58,35.74,139.53,87.01,14.99
69,Georgetown,0,GY,1570075640,94,6.8,-58.16,77.0,4.7
70,Ishimbay,100,RU,1570075669,67,53.45,56.04,46.32,12.3
71,Abu Samrah,0,SY,1570075670,92,35.3,37.18,64.35,7.83
72,Rikitea,90,PF,1570075484,76,-23.12,-134.97,64.39,9.8
73,Lata,7,IN,1570075671,56,30.78,78.62,39.87,4.83
74,Butaritari,100,KI,1570075672,59,3.07,172.79,84.87,2.44
75,Yellowknife,75,CA,1570075431,61,62.45,-114.38,48.2,10.29
76,Bulgan,0,MN,1570075674,75,48.81,103.53,29.87,2.64
77,Orumiyeh,40,IR,1570075675,50,37.55,45.08,51.8,6.93
78,Bilma,0,NE,1570075677,12,18.69,12.92,83.58,8.19
79,Honiara,20,SB,1570075681,59,-9.43,159.96,89.6,13.87
80,Karratha,0,AU,1570075681,14,-20.74,116.85,98.91,4.16
81,Lucea,20,JM,1570075682,83,18.44,-78.17,80.6,4.7
82,Ostrovnoy,93,RU,1570075683,76,68.05,39.51,34.1,19.24
83,Lompoc,1,US,1570075591,62,34.64,-120.46,63.0,3.36
84,Baiyin,0,CN,1570075688,51,36.55,104.13,60.8,4.47
85,Songjianghe,100,CN,1570075689,50,42.18,127.48,71.12,5.68
86,Mar del Plata,0,AR,1570075691,37,-46.43,-67.52,46.48,7.56
87,Ponta Delgada,75,PT,1570075469,82,37.73,-25.67,71.01,5.82
88,Saint-Philippe,1,CA,1570075692,81,45.36,-73.48,45.0,5.82
89,Ouadda,100,CF,1570075693,93,8.07,22.4,68.04,4.56
90,Khatanga,0,RU,1570075693,68,71.98,102.47,23.82,8.46
91,Guerrero Negro,0,MX,1570075694,79,27.97,-114.04,66.59,13.89
92,Kushima,40,JP,1570075695,58,31.5,131.29,87.8,16.11
93,Kaitangata,81,NZ,1570075697,61,-46.28,169.85,50.0,10.0
94,Solnechnyy,100,RU,1570075697,56,50.72,136.64,43.22,5.84
95,Tuzha,2,CN,1570075698,45,28.58,109.69,84.41,2.35
96,Morant Bay,20,JM,1570075700,74,17.88,-76.41,84.2,12.75
97,Alberton,0,ZA,1570075700,70,-26.25,28.13,51.8,9.66
98,Kruisfontein,100,ZA,1570075701,74,-34.0,24.73,58.29,16.28
99,Qaanaaq,26,GL,1570075701,71,77.48,-69.36,21.19,4.09
100,Komsomolskiy,100,RU,1570075703,87,67.55,63.78,38.61,15.64
101,Galle,100,GN,1570075703,91,10.08,-12.83,70.29,1.92
102,Martapura,0,ID,1570075704,94,-3.41,114.85,77.0,5.82
103,Kamien Pomorski,90,PL,1570075708,93,53.97,14.77,45.0,6.93
104,Hami,0,CN,1570075709,21,42.84,93.51,59.94,7.02
105,Hermiston,1,US,1570075711,40,45.84,-119.29,54.0,4.03
106,Bonavista,100,CA,1570075712,87,48.65,-53.11,39.99,11.01
107,Ponta do Sol,0,BR,1570075714,51,-20.63,-46.0,71.37,3.04
108,Caravelas,0,BR,1570075716,78,-17.73,-39.27,69.81,7.87
109,Vila Velha,0,BR,1570075718,73,-3.71,-38.6,77.0,4.7
110,Ayan,0,IR,1570075720,38,38.23,44.7,53.6,2.24
111,Ryotsu,100,JP,1570075720,69,38.08,138.43,82.4,4.7
112,Scarborough,0,GB,1570075721,93,54.28,-0.41,43.0,1.12
113,Yulara,15,AU,1570075724,7,-25.24,130.99,96.8,6.93
114,Dicabisagan,97,PH,1570075725,78,17.08,122.42,82.16,0.72
115,Dikson,100,RU,1570075726,70,73.51,80.55,26.52,24.36
116,Saraland,1,US,1570075729,94,30.82,-88.07,77.0,2.57
117,Katsuura,75,JP,1570075730,83,33.93,134.5,77.0,32.21
118,Saldanha,100,PT,1570075731,62,41.42,-6.55,55.57,1.3
119,Lahij,15,YE,1570075734,76,13.06,44.88,79.82,6.91
120,Saskylakh,4,RU,1570075735,76,71.97,114.09,19.39,0.87
121,Bida,100,NG,1570075735,95,9.08,6.02,73.73,1.21
122,Salalah,40,OM,1570075736,83,17.01,54.1,78.8,4.7
123,Chuy,97,UY,1570075736,76,-33.69,-53.46,56.88,18.07
124,Zubtsov,100,RU,1570075737,98,56.17,34.59,50.96,5.95
125,Namibe,53,AO,1570075737,82,-15.19,12.15,64.93,6.58
126,Havoysund,90,NO,1570075737,89,71.0,24.66,35.6,18.34
127,Puerto Boyaca,100,CO,1570075738,98,5.98,-74.59,66.57,2.59
128,Coquimbo,0,CL,1570075738,76,-29.95,-71.34,51.8,9.17
129,Danshui,20,CN,1570075739,66,22.81,114.46,91.99,4.47
130,Norman Wells,90,CA,1570075739,93,65.28,-126.83,44.6,3.36
131,Kodiak,90,US,1570075739,93,39.95,-94.76,59.0,11.41
132,Geraldton,90,CA,1570075740,86,49.72,-86.95,32.0,2.24
133,Orocue,100,CO,1570075740,88,4.79,-71.34,77.17,3.71
134,Vitim,100,RU,1570075741,92,59.44,112.57,33.07,12.73
135,Abastumani,0,GE,1570075742,46,41.75,42.83,71.6,24.16
136,Lodwar,66,KE,1570075745,50,3.12,35.6,82.23,10.87
137,Filingue,23,NE,1570075746,53,14.35,3.32,83.31,9.69
138,Key Largo,1,US,1570075746,83,25.09,-80.45,81.0,9.17
139,Noumea,90,NC,1570075747,44,-22.28,166.46,75.99,23.04
140,Hermanus,0,ZA,1570075748,89,-34.42,19.24,55.99,6.89
141,Oussouye,20,SN,1570075748,88,12.49,-16.54,78.8,2.24
142,Bhuj,3,IN,1570075750,77,23.25,69.67,81.6,14.16
143,Klaksvik,5,FO,1570075488,81,62.23,-6.59,42.8,6.93
144,Port Elizabeth,90,US,1570075750,65,39.31,-74.98,80.6,11.41
145,Gamba,79,CN,1570075751,66,28.28,88.52,37.46,3.78
146,Namatanai,69,PG,1570075756,71,-3.66,152.44,81.63,5.91
147,Itoman,20,JP,1570075758,79,26.12,127.67,87.8,5.82
148,Nizhniy Kuranakh,100,RU,1570075760,74,58.84,125.49,31.85,7.61
149,Nome,1,US,1570075761,88,30.04,-94.42,80.01,3.47
150,Goure,82,NE,1570075762,76,13.98,10.27,77.0,8.01
151,Avarua,33,CK,1570075699,61,-21.21,-159.78,77.0,6.93
152,Banjar,47,ID,1570075765,63,-7.37,108.54,81.6,5.46
153,Chirongui,0,YT,1570075766,94,-12.93,45.15,75.2,2.24
154,Bayevo,0,RU,1570075766,62,53.27,80.77,43.19,2.64
155,Haines Junction,19,CA,1570075768,78,60.75,-137.51,34.92,2.86
156,Alyangula,100,AU,1570075770,35,-13.85,136.42,89.6,13.87
157,Lagoa,0,PT,1570075771,82,37.14,-8.45,60.01,10.63
158,Longyearbyen,75,NO,1570075771,74,78.22,15.63,35.6,18.34
159,Bambous Virieux,75,MU,1570075772,94,-20.34,57.76,73.99,8.05
160,Shimoda,75,JP,1570075774,61,34.7,138.93,82.4,10.29
161,Barrow,0,AR,1570075775,78,-38.31,-60.23,36.2,7.31
162,Celestun,0,MX,1570075776,79,20.87,-90.4,82.21,15.93
163,Ahipara,100,NZ,1570075776,82,-35.17,173.16,59.0,15.5
164,Calafell,33,ES,1570075778,59,41.2,1.57,68.0,8.05
165,Shuangyang,0,CN,1570075779,56,25.0,118.61,89.01,1.28
166,Bilibino,100,RU,1570075780,89,68.06,166.44,13.81,5.37
167,Gushikawa,20,JP,1570075781,79,26.35,127.87,87.8,5.82
168,Leningradskiy,100,RU,1570075781,92,69.38,178.42,29.11,12.82
169,Lazaro Cardenas,20,MX,1570075782,83,28.39,-105.62,71.01,4.7
170,Ouricuri,64,BR,1570075493,61,-7.88,-40.08,73.53,6.85
171,Labuhan,0,ID,1570075785,53,-2.54,115.51,91.07,1.77
172,Sechenovo,92,RU,1570075785,82,55.22,45.89,52.82,10.29
173,Port Hardy,90,CA,1570075646,93,50.7,-127.42,50.0,13.87
174,Port Hedland,0,AU,1570075788,8,-20.31,118.58,104.0,9.17
175,Zaoyang,0,CN,1570075789,30,32.12,112.76,88.24,5.97
176,Boshnyakovo,100,RU,1570075789,81,49.65,142.17,43.58,22.46
177,Hun,0,BE,1570075790,86,50.34,4.87,46.0,6.93
178,Pundaguitan,13,PH,1570075791,74,6.37,126.17,82.79,6.24
179,Torquay,100,GB,1570075791,92,50.47,-3.52,51.01,3.83
180,Nhulunbuy,75,AU,1570075792,54,-12.18,136.78,84.2,17.22
181,Westlock,90,CA,1570075611,84,54.15,-113.85,46.4,6.93
182,Ust-Maya,100,RU,1570075795,50,60.42,134.54,32.37,9.82
183,Lowestoft,0,GB,1570075798,93,52.48,1.75,45.0,4.7
184,Riyadh,0,SA,1570075683,26,24.63,46.72,78.8,3.36
185,Cervo,9,BR,1570075801,61,-22.19,-46.24,63.87,5.45
186,Saint-Joseph,0,FR,1570075802,81,43.56,6.97,66.2,4.7
187,Constantine,75,DZ,1570075803,93,36.36,6.61,55.4,6.93
188,Denpasar,40,ID,1570075666,74,-8.65,115.22,86.0,11.41
189,Aldan,100,RU,1570075809,74,58.61,125.39,31.85,7.61
190,Lasa,40,CY,1570075810,82,34.92,32.53,68.0,8.05
191,Ribeira Grande,100,PT,1570075811,68,38.52,-28.7,69.54,8.68
192,Te Anau,8,NZ,1570075812,76,-45.41,167.72,43.98,9.17
193,Sanbu,0,CN,1570075813,40,33.46,119.15,84.98,2.33
194,Touros,20,BR,1570075814,88,-5.2,-35.46,71.6,5.82
195,Nantucket,90,US,1570075694,71,41.28,-70.1,57.2,14.99
196,Cherskiy,0,RU,1570075817,56,68.75,161.3,27.85,16.93
197,New Norfolk,0,AU,1570075819,29,-42.78,147.06,84.0,9.17
198,Aswan,0,EG,1570075820,31,24.09,32.9,77.1,10.25
199,Guarapari,75,BR,1570075821,88,-20.67,-40.5,75.99,2.82
200,Souillac,0,FR,1570075821,87,45.6,-0.6,51.8,4.7
201,Shemonaikha,0,KZ,1570075826,45,50.63,81.92,39.66,2.28
202,Velyka Bilozerka,0,UA,1570075827,82,47.27,34.68,53.01,8.75
203,San Patricio,100,PY,1570075828,94,-26.98,-56.83,67.31,6.38
204,Cacapava do Sul,100,BR,1570075829,95,-30.51,-53.49,59.89,12.01
205,Muravlenko,100,RU,1570075830,95,63.79,74.5,46.48,13.8
206,Berlevag,75,NO,1570075831,74,70.86,29.09,37.4,16.11
207,Teruel,0,ES,1570075833,93,40.34,-1.11,60.8,6.11
208,Aitape,26,PG,1570075833,65,-3.15,142.36,85.18,7.67
209,Pilar,0,AR,1570075834,66,-34.46,-58.91,51.8,10.29
210,Canton,90,US,1570075561,94,40.8,-81.38,73.4,3.36
211,Portoferraio,20,IT,1570075835,93,42.81,10.31,72.0,3.36
212,Kankan,100,GN,1570075836,96,10.38,-9.3,70.55,3.78
213,Killybegs,100,IE,1570075836,82,54.63,-8.45,46.0,7.0
214,Tuktoyaktuk,90,CA,1570075838,93,69.44,-133.03,35.6,14.99
215,Opochka,100,RU,1570075840,95,56.71,28.66,45.13,8.86
216,Ampanihy,100,MG,1570075841,82,-24.69,44.75,69.79,9.17
217,Kavieng,41,PG,1570075841,69,-2.57,150.8,83.06,1.16
218,Osoyoos,1,CA,1570075843,65,49.03,-119.47,55.4,5.82
219,Berekum,100,GH,1570075845,98,7.45,-2.58,71.77,3.31
220,Belmonte,69,PT,1570075846,94,40.36,-7.35,51.01,2.1
221,Tupik,0,RU,1570075847,33,54.43,119.94,35.52,6.15
222,Prachuap Khiri Khan,98,TH,1570075848,84,11.81,99.79,79.37,2.66
223,Tazovskiy,100,RU,1570075849,97,67.47,78.7,42.66,12.86
224,Juneau,75,US,1570075850,87,58.3,-134.42,48.2,12.75
225,San Cristobal,100,HN,1570075851,95,14.68,-86.92,66.62,3.65
226,Camacha,40,PT,1570075852,82,33.08,-16.33,68.0,3.36
227,Mayo,20,CA,1570075854,90,63.59,-135.9,42.8,2.24
228,Walvis Bay,90,NA,1570075855,87,-22.95,14.51,57.2,8.05
229,Dali,100,CN,1570075856,67,34.79,109.94,68.75,8.63
230,Hammerfest,90,NO,1570075857,92,70.66,23.68,35.6,18.34
231,Half Moon Bay,1,US,1570075858,67,37.46,-122.43,61.0,9.17
232,Padang,97,ID,1570075859,84,-0.92,100.36,78.34,14.23
233,Naze,100,NG,1570075861,98,5.43,7.07,72.33,4.47
234,Quatre Cocos,75,MU,1570075863,94,-20.21,57.76,73.99,8.05
235,Kumluca,0,TR,1570075863,84,36.37,30.29,51.75,2.35
236,Vardo,75,US,1570075865,78,39.62,-77.74,80.01,1.43
237,Luoyang,40,CN,1570075867,36,34.66,112.42,80.93,8.32
238,Keita,20,NG,1570075869,100,7.1,3.65,73.4,2.24
239,Yako,41,BF,1570075869,79,12.96,-2.26,77.22,5.1
240,Torbay,90,CA,1570075610,93,47.66,-52.73,41.0,9.17
241,Galveston,75,US,1570075872,100,40.58,-86.19,75.99,4.7
242,Tigil,72,RU,1570075872,90,57.8,158.67,39.82,1.14
243,Beloha,100,MG,1570075874,82,-25.17,45.06,69.97,10.89
244,Bowen,40,AU,1570075876,57,-20.01,148.25,77.0,23.04
245,Raudeberg,40,NO,1570075877,66,61.99,5.14,48.2,13.87
246,Carupano,34,VE,1570075878,90,10.67,-63.26,71.54,2.75
247,Monkey Bay,15,MW,1570075879,77,-14.08,34.91,71.25,16.64
248,Kibala,20,TD,1570075880,88,9.11,18.35,75.2,1.89
249,Panalingaan,8,PH,1570075881,68,8.78,117.42,82.86,1.88
250,Broome,1,GB,1570075881,86,52.47,1.45,45.0,6.8
251,Fairbanks,90,US,1570075794,100,64.84,-147.72,39.2,4.7
252,Pozo Colorado,100,PY,1570075883,83,-23.49,-58.8,60.92,6.29
253,Sheopur,0,IN,1570075885,74,25.67,76.7,78.9,5.32
254,Oistins,20,BB,1570075886,74,13.07,-59.53,82.4,13.87
255,Krasnovishersk,100,RU,1570077210,95,60.4,57.08,45.23,7.49
256,Altea,0,ES,1570077210,67,38.6,-0.05,70.0,5.82
257,Constitucion,90,MX,1570077001,87,23.99,-104.67,64.0,6.31
258,Cayenne,0,GF,1570076916,88,4.94,-52.33,77.0,6.08
259,Flinders,0,AU,1570077211,28,-34.58,150.85,86.0,10.29
260,Beysehir,0,TR,1570077211,54,37.68,31.72,63.05,0.09
261,Tiznit,9,MA,1570076995,81,29.7,-9.73,68.91,19.17
262,Seydi,0,NE,1570077212,69,13.34,7.75,77.98,12.03
263,Muncar,16,ID,1570077212,41,-8.43,114.34,90.59,7.78
264,Saint George,20,GR,1570077212,82,39.45,22.34,59.0,5.82
265,Airai,0,TL,1570077213,29,-8.93,125.41,94.36,2.77
266,Iraan,1,US,1570077214,56,30.91,-101.9,77.0,5.82
267,Den Helder,75,NL,1570077215,81,52.96,4.76,55.0,11.41
268,Hilo,90,US,1570077215,83,19.71,-155.08,77.0,9.17
269,Seoul,75,KR,1570077216,54,37.57,126.98,80.6,6.93
270,Manakara,35,MG,1570077216,73,-22.14,48.01,77.94,6.38
271,Iquique,90,CL,1570077217,77,-20.22,-70.14,60.8,6.93
272,Maceio,40,BR,1570077029,94,-9.67,-35.74,69.8,4.7
273,Soyo,100,AO,1570077218,85,-6.13,12.37,76.86,9.73
274,Hovd,90,NO,1570077218,93,63.83,10.7,42.01,6.93
275,Lavrentiya,62,RU,1570076973,80,65.58,-170.99,34.98,13.53
276,Tucupita,63,VE,1570077219,95,9.06,-62.05,74.23,2.66
277,Acajutla,99,SV,1570077220,73,13.59,-89.83,80.68,3.31
278,Nara,75,JP,1570077220,65,34.68,135.8,82.4,6.93
279,Santana do Livramento,100,BR,1570077222,87,-30.89,-55.53,55.67,19.91
280,Fukue,75,JP,1570077224,69,35.03,136.69,81.0,19.46
281,Grand Gaube,75,MU,1570077225,94,-20.01,57.66,75.0,6.93
282,Hobyo,83,SO,1570077226,63,5.35,48.53,84.85,8.77
283,Pouembout,78,NC,1570077227,71,-21.12,164.9,70.45,24.25
284,Samagaltay,0,RU,1570077227,25,50.6,95.0,40.03,5.1
285,Porto Novo,0,BR,1570077228,68,-23.68,-45.44,69.8,12.68
286,Harper,1,US,1570077229,60,30.3,-99.24,79.0,13.91
287,Cassilandia,100,BR,1570077229,90,-19.11,-51.73,69.73,4.05
288,Vestmannaeyjar,100,IS,1570077230,85,63.44,-20.27,46.87,51.29
289,Cabo San Lucas,20,MX,1570077042,78,22.89,-109.91,80.01,4.7
290,Tura,100,RU,1570077232,92,64.27,100.22,37.26,6.22
291,Hasaki,75,JP,1570077233,61,35.73,140.83,86.0,10.29
292,Luderitz,0,NA,1570077234,88,-26.65,15.16,55.39,22.44
293,Magog,90,CA,1570077236,86,45.27,-72.15,39.99,2.24
294,Dubai,0,AE,1570077236,52,25.27,55.3,87.8,4.7
295,Farafangana,66,MG,1570077237,82,-22.82,47.83,76.37,5.1
296,Umm Lajj,0,SA,1570077238,77,25.02,37.27,83.39,11.63
297,Kalanguy,0,RU,1570077239,27,51.01,116.52,43.85,8.88
298,Porto Murtinho,58,BR,1570077241,79,-21.7,-57.88,64.01,4.45
299,Hithadhoo,95,MV,1570077241,79,-0.6,73.08,82.64,16.15
300,Rocha,45,UY,1570077206,92,-34.48,-54.34,47.54,7.9
301,Kloulklubed,75,PW,1570077245,66,7.04,134.26,87.8,11.41
302,Shubarshi,0,KZ,1570077246,26,48.59,57.19,58.19,11.41
303,Meulaboh,72,ID,1570077247,80,4.14,96.13,80.17,12.86
304,Sao Joao da Barra,13,BR,1570077248,97,-21.64,-41.05,64.24,0.63
305,Rincon,0,PA,1570077249,94,8.46,-82.28,75.2,2.24
306,Okahandja,0,NA,1570077249,21,-21.98,16.91,57.0,5.93
307,Baruun-Urt,100,MN,1570077251,46,46.68,113.28,42.28,16.84
308,Sao Joao do Piaui,53,BR,1570077253,67,-8.36,-42.25,73.96,8.52
309,Afua,97,NG,1570077255,96,5.27,7.87,72.88,1.61
310,Carnarvon,47,ZA,1570077255,16,-30.97,22.13,60.25,9.62
311,Mount Pleasant,1,US,1570077214,73,33.16,-94.97,77.0,4.34
312,Surt,0,LY,1570077257,63,31.21,16.59,78.1,13.76
313,Sayyan,18,YE,1570077258,38,15.17,44.32,75.96,4.14
314,Takanabe,40,JP,1570077258,58,32.13,131.49,86.0,20.8
315,Necochea,0,AR,1570077017,76,-38.55,-58.74,37.0,1.01
316,Batemans Bay,13,AU,1570077260,36,-35.71,150.18,82.99,7.0
317,Bagdarin,0,RU,1570077261,25,54.44,113.59,38.47,7.85
318,Sao Filipe,22,CV,1570077262,84,14.9,-24.5,77.09,11.01
319,Bandarbeyla,96,SO,1570077266,62,9.49,50.81,81.92,4.85
320,Ust-Omchug,84,RU,1570077267,84,61.13,149.63,18.54,4.25
321,Platanos,20,GR,1570077267,93,35.47,23.6,68.0,16.35
322,Kizlyar,10,RU,1570077268,66,43.84,46.71,72.32,16.84
323,Bani Walid,0,LY,1570077269,33,31.76,14.0,70.67,15.21
324,Polyarnyy,75,RU,1570077270,82,69.2,33.45,32.0,4.47
325,Sambava,80,MG,1570077272,70,-14.27,50.17,78.53,5.97
326,Iona,90,CA,1570077273,86,45.96,-60.8,46.0,5.82
327,Huilong,99,CN,1570077275,73,31.15,106.5,76.66,3.04
328,Ryde,100,GB,1570077277,100,50.73,-1.16,45.0,2.24
329,Ipixuna,0,BR,1570077277,83,-1.76,-48.8,77.0,8.05
330,Aklavik,90,CA,1570077278,93,68.22,-135.01,39.2,9.17
331,Chumikan,67,RU,1570077279,30,54.72,135.31,39.35,15.19
332,Wukari,92,NG,1570077280,96,7.87,9.78,73.39,2.53
333,Zhangye,92,CN,1570077282,22,38.94,100.46,58.25,8.19
334,Huarmey,84,PE,1570077283,92,-10.07,-78.15,60.93,17.47
335,Chambarak,0,AM,1570077284,32,40.6,45.35,60.82,2.73
336,Micheweni,95,TZ,1570077287,82,-4.97,39.83,79.58,14.81
337,Ivybridge,100,GB,1570077289,82,50.39,-3.92,50.0,1.01
338,Ambilobe,44,MG,1570077290,44,-13.19,49.05,88.13,6.24
339,Mehamn,75,NO,1570077291,76,71.03,27.85,35.6,9.17
340,Auki,29,NG,1570077293,90,12.18,6.51,72.11,7.81
341,Port Lincoln,31,AU,1570077294,84,-34.72,135.86,57.56,13.35
342,Knysna,75,ZA,1570077294,87,-34.04,23.05,59.0,9.17
343,Kieta,100,PG,1570077295,81,-6.22,155.63,78.52,3.89
344,Iskitim,0,RU,1570077297,57,54.64,83.3,48.2,6.71
345,Tilichiki,57,RU,1570077297,85,60.47,166.1,29.68,8.08
346,Nanortalik,100,GL,1570077298,68,60.14,-45.24,42.21,5.99
347,Taoudenni,0,ML,1570077300,11,22.68,-3.98,86.54,5.35
348,Hualmay,43,PE,1570077300,90,-11.1,-77.61,61.45,16.82
349,Whitehorse,20,CA,1570077301,69,60.72,-135.06,39.2,4.7
350,Abu Dhabi,0,AE,1570077273,48,24.47,54.37,87.8,4.7
351,Northam,0,AU,1570077303,38,-31.65,116.67,75.2,10.29
352,Linhares,8,BR,1570077305,95,-19.38,-40.06,64.84,1.01
353,Podor,0,MR,1570077306,69,16.65,-14.96,80.6,9.75
354,Lengshuitan,0,CN,1570077307,26,26.41,111.6,96.77,5.97
355,Khandyga,96,RU,1570077308,59,62.65,135.58,27.83,2.08
356,Kununurra,0,AU,1570077310,5,-15.77,128.74,104.0,21.92
357,Ibb,1,YE,1570077312,61,13.97,44.18,71.66,3.22
358,Pisco,40,PE,1570077313,82,-13.71,-76.2,64.0,3.36
359,Linxia,57,CN,1570077314,48,35.6,103.21,61.02,8.14
360,Lodja,99,CD,1570077316,90,-3.52,23.6,73.35,1.28
361,Kuala Pilah,75,MY,1570077318,66,2.74,102.25,87.8,4.7
362,Los Llanos de Aridane,33,ES,1570077321,88,28.66,-17.92,82.0,11.41
363,Cumana,20,VE,1570077322,88,10.46,-64.17,80.6,17.63
364,Nouadhibou,52,MR,1570077323,51,20.93,-17.03,80.6,13.87
365,Ondjiva,48,AO,1570077327,16,-17.07,15.73,66.22,1.77
366,Anloga,20,GH,1570077329,94,5.79,0.9,75.2,4.7
367,Teknaf,0,BD,1570077330,78,20.86,92.31,83.11,15.14
368,Svetlogorsk,75,RU,1570077331,56,53.14,59.15,44.6,6.71
369,Macas,100,EC,1570077333,95,-2.3,-78.12,47.09,2.77
370,Vao,68,EE,1570077335,85,59.1,26.19,43.27,9.04
371,Kuandian,0,CN,1570077336,52,40.73,124.78,75.6,11.74
372,Dongsheng,0,CN,1570077337,28,29.72,112.52,94.19,6.04
373,Chibuto,0,MZ,1570077338,55,-24.69,33.53,70.79,5.32
374,Sembakung,75,ID,1570077339,94,3.82,117.25,78.8,4.7
375,Miri,63,NG,1570077341,90,10.31,9.75,69.64,6.91
